DatabaseClass text primary key,NATO_ASCC text,ModelClassId numeric,ClassificationId numeric,Cost numeric,Weight_kg numeric,Volume_m3 numeric,InitialYear numeric,FinalYear numeric,Country text,Designation text,ImageList text,IconFileName text,ModelFileName text,Description text,Notes text,MaxRange_km numeric,RefRange_km numeric,FieldOfView_deg numeric,MinElevation_deg numeric,MaxElevation_deg numeric,ScanPeriod_s numeric,DamageEffect text,RangeError numeric,AngleError_deg numeric,ElevationError_deg numeric,MinFrequency_Hz numeric,MaxFrequency_Hz numeric,IdThreshold_dB real,CounterMeasureFactor numeric,IsSurveillance numeric,MaxFireControlTracks numeric,IsSemiactive numeric,IsDesignator numeric,DetectsSurface numeric,DetectsAir numeric,DetectsMissile numeric,DetectsGround numeric,IsIR numeric,NightFactor numeric
"40 Stab","","0","0","","","","1900","2999","","","","","","EO/IR","Marcos","18","14","360","-15","75","6","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","1","0","0","0","1","1","0","1","1","1"
"AAQ-33 SNIPER-XR","","0","0","0","0","0","1900","2999","","","","","","SNIPER-XR laser designator","No idea what range is, just a wild guess","40","20","360","-90","90","30","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","0","10","0","1","1","0","0","1","1","1"
"AGM-119A Seeker","","0","0","0","0","0","1900","2999","","","","","","","","20","8.75","30","-90","90","5","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","0","0","0","0","1","0","0","0","1","1"
"AGM-119B seeker","","0","0","0","0","0","1900","2999","","","","","","IR seeker","","27","12.84","30","-90","90","5","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","0","0","0","0","1","0","0","0","1","1"
"AGM-119C Seeker","","0","0","0","0","0","1900","2999","","","","","","","","40","21.53","30","-90","90","5","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","0","0","0","0","1","0","0","0","1","1"
"AGM-12 Bullpup seeker","","0","0","0","0","0","1900","2999","","","","","","Electro-optical seeker","","16","25","30","-30","30","5","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","0","0","0","0","0","0","0","1","0","1"
"AGM-65A TV seeker","","0","0","0","0","0","1900","2999","","","","","","TV seeker","","11.8","1.58","30","-90","90","5","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","0","0","0","0","1","0","0","1","0","0.1"
"AGM-65B TV Seeker","","0","0","0","0","0","1900","2999","","","","","","","","23.6","4.13","15","-90","90","5","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","0","0","0","0","1","0","0","1","0","0.1"
"AGM-65D IR Seeker","","0","0","0","0","0","1900","2999","","","","","","","","23","3.98","30","-90","90","5","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","0","0","0","0","1","0","0","1","1","1"
"AGM-65E Laser Seeker","","0","0","0","0","0","1900","2999","","","","","","","","25.5","3.41","30","-90","90","5","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","0","0","1","0","1","0","0","1","0","1"
"AGM-65J CCD IR Seeker","","0","0","0","0","0","1900","2999","","","","","","","","34.5","8","30","-90","90","5","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","0","0","0","0","1","0","0","1","1","1"
"AIM-132 ASRAAM Seeker","","0","0","0","0","0","1900","2999","","","","","","AIM-132 ASRAAM Seeker Head","","20","13","180","-90","90","1","GenericSensor","0","0","0","75000000000000","800000000000000","6","1","0","0","0","0","0","1","0","0","1","1"
"AIM-132 IR Seeker","","0","0","0","0","0","1900","2999","","","","","","AIM-132 ASRAAM Seeker Head","","33","27.5","180","-90","90","1","GenericSensor","0","0","0","75000000000000","800000000000000","6","1","0","0","0","0","0","1","0","0","1","1"
"AIM-4C IR Seeker","","0","0","0","0","0","1900","2999","","","","","","IR seeker","","10.5","2.35","10","-10","10","0.1","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","0","0","0","0","0","1","0","0","1","1"
"AIM-4G IR seeker","","0","0","0","0","0","1900","2999","","","","","","IR seeker","","13.4","3.2","20","-20","20","0.1","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","0","0","0","0","0","1","0","0","1","1"
"AIM-9A Seeker","","0","0","0","0","0","1900","2999","","","","","","IR seeker for the AIM-9A AAM.  4.8km rear aspect aligned.","the reality is that this missile is VERY aspect limited, but in GCB this makes it virtually useless, the 'h' command lacks the precision, plus the failure of the AI to agerssively position itself in short order leads to necessitating an increased FoV, granting it 15° instead of 4","4.8","0.95","15","-90","90","2","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","0","0","0","0","0","1","0","0","1","1"
"AIM-9D SEAM Seeker","","0","0","0","0","0","1900","2999","","","","","","IR seeker for the AIM-9G AAM.  18km rear aspect aligned.","","18","4.7","60","-90","90","2","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","0","0","0","0","0","1","0","0","1","1"
"AIM-9D Seeker","","0","0","0","0","0","1900","2999","","","","","","IR seeker for the AIM-9D AAM.  18km rear aspect aligned.","","18","4.7","2.5","-90","90","2","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","0","0","0","0","0","1","0","0","1","1"
"AIM-9E Seeker","","0","0","0","0","0","1900","2999","","","","","","IR seeker for the AIM-9E AAM.  4.2km rear aspect aligned.","","4.2","0.82","6","-90","90","2","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","0","0","0","0","0","1","0","0","1","1"
"AIM-9L Seeker","","0","0","0","0","0","1900","2999","","","","","","IR seeker for the AIM-9L AAM.  18km all aspect aligned.","","18","14.2","60","-90","90","2","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","0","0","0","0","0","1","0","0","1","1"
"AIM-9M Seeker","","0","0","0","0","0","1900","2999","","","","","","IR seeker","","20","20","60","-90","90","2","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","0","0","0","0","0","1","0","0","1","1"
"AIM-9M test","","0","0","0","0","0","1900","2999","","","","","","","changing the values for testing purposes, max range up from 20 to 200, isSurveilance enabled, mounted as sensor on F-14D as testbed.","40","10","90","-90","90","0.5","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","1","0","0","0","0","1","0","0","1","1"
"AIM-9N Seeker","","0","0","0","0","0","1900","2999","","","","","","IR seeker for the AIM-9N AAM.  5km rear aspect aligned.","","5","0.99","40","-90","90","2","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","0","0","0","0","0","1","0","0","1","1"
"AIM-9P4 SH","","0","0","","","","1900","2999","","","","","","IR seeker","Marcos","10","9","40","-20","20","1","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","0","0","0","0","0","1","0","0","1","1"
"AIM-9X Seeker","","0","0","0","0","0","1900","2999","","","","","","IR seeker for the AIM-9X AAM.  30km All aspect aligned.","","30","24.72","60","-90","90","2","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","0","0","0","0","0","1","0","0","1","1"
"AN/AAQ-22","","0","0","","","","1900","2999","","","","","","AAQ-22 EO/IR forward looking infrared system","Marcos","20","15","270","-90","10","2","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","1","2","0","1","1","0","0","0","1","1"
"AN/AAQ-37 Distributed Aperture System","","0","0","0","0","0","1900","2999","","","","","","Electro-Optical Distributed Aperture System fitted aboard the F-35 Lightning II","","90","45","360","-90","90","1","GenericSensor","1","0","0","75000000000000","800000000000000","6","1","1","6","0","1","1","1","1","1","1","1"
"AN/AAR-47","","0","0","0","0","0","1900","2999","","","","","","Missile approach warning system, passive EO","","5","3","360","-90","90","2","GenericSensor","0","0","0","75000000000000","800000000000000","6","1","1","0","0","0","0","1","1","0","1","1"
"AN/AAR-54 MAWS","","0","0","0","0","0","1900","2999","","","","","","Ultraviolet-band Missile Approach Warning System. Detects UV plume of missile exhaust and automatically cues countermeasures.","","50","50","360","-90","90","1","GenericSensor","0","0","0","75000000000000","800000000000000","6","1","1","0","0","1","0","1","1","0","1","1"
